人民币	人民币 ￥
非常棒	非常棒 👍
不好	不好 👎
不强	不强 👎
不棒	不棒 👎
大拇指向下	大拇指向下 👎
大拇指朝下	大拇指朝下 👎
太差	太差 👎
太差了	太差了 👎
太差啦	太差啦 👎
差劲	差劲 👎
很差	很差 👎
拇指朝下	拇指朝下 👎
出拳	出拳 👊
干你	干你 👊
打你	打你 👊
打击	打击 👊
拳头	拳头 👊
揍你	揍你 👊
握紧的拳头	握紧的拳头 👊
重拳出击	重拳出击 👊
举起拳头	举起拳头 ✊
举起的拳头	举起的拳头 ✊
握拳	握拳 ✊
右拳	右拳 🤛
右钩拳	右钩拳 🤛
左向拳	左向拳 🤛
朝左的拳头	朝左的拳头 🤛
右向拳	右向拳 🤜
左拳	左拳 🤜
左钩拳	左钩拳 🤜
朝右的拳头	朝右的拳头 🤜
向左推	向左推 🫷
向左推手	向左推手 🫷
向左推的手	向左推的手 🫷
左手	左手 🫷 🫲
左推	左推 🫷
推手	推手 🫷 🫸
右手	右手 🫸 🫱
右推	右推 🫸
向右推	向右推 🫸
向右推手	向右推手 🫸
向右推的手	向右推的手 🫸
交叉的手指	交叉的手指 🤞
手指交叉	手指交叉 🤞
两个	两个 ✌️
剪刀手	剪刀手 ✌️
和平手势	和平手势 ✌️
哦耶	哦耶 ✌️
成功	成功 ✌️
第二	第二 ✌️
耶	耶 ✌️
胜利	胜利 ✌️
赢了	赢了 ✌️
赢咯	赢咯 ✌️
赢啦	赢啦 ✌️
响指	响指 🫰
打响指	打响指 🫰
食指和拇指交叉的手	食指和拇指交叉的手 🫰
我爱你	我爱你 🤟
爱你	爱你 🤟
爱你手势	爱你手势 🤟
爱你的手势	爱你的手势 🤟
摇滚	摇滚 🤘
摇滚手势	摇滚手势 🤘
金属礼	金属礼 🤘
OK	OK 👌 🙆‍♀️ 🙆 🙆‍♂️ 🆗
好	好 👌 🙆‍♀️ 🙆 🙆‍♂️ 🙂‍↕
好哒	好哒 👌
好的	好的 👌 🙆‍♀️ 🙆 🙆‍♂️
没问题	没问题 👌
兰花指	兰花指 🤌
手指	手指 🤌
手指捏和	手指捏和 🤌
捏合	捏合 🤌
捏手指	捏手指 🤌
一点	一点 🤏 🕐
一点点	一点点 🤏
少许	少许 🤏
少量	少量 🤏
手掌朝下	手掌朝下 🫳
掌心朝下	掌心朝下 🫳
放手	放手 🫳
朝下	朝下 🫳
伸手	伸手 🫴
手掌朝上	手掌朝上 🫴
抬起	抬起 🫴
掌心朝上	掌心朝上 🫴
朝上	朝上 🫴
反手食指向左指	反手食指向左指 👈
向左	向左 👈
向左指	向左指 👈
左边	左边 👈
左面	左面 👈
往左	往左 👈
往左指	往左指 👈
反手食指向右指	反手食指向右指 👉
右边	右边 👉
右面	右面 👉
向右	向右 👉
向右指	向右指 👉
往右	往右 👉
往右指	往右指 👉
上边	上边 👆
上面	上面 👆
反手食指向上指	反手食指向上指 👆
向上	向上 👆
向上指	向上指 👆
往上	往上 👆
往上指	往上指 👆
下边	下边 👇
下面	下面 👇
反手食指向下指	反手食指向下指 👇
向下	向下 👇
向下指	向下指 👇
往下	往下 👇
往下指	往下指 👇
一个	一个 ☝️
第一	第一 ☝️
食指	食指 ☝️
举起的手	举起的手 ✋
击掌	击掌 ✋
手	手 ✋
手掌	手掌 ✋
手背	手背 🤚
张开手指	张开手指 🖐
张开手指的手	张开手指的手 🖐
手指张开	手指张开 🖐
手指张开的手	手指张开的手 🖐
斯波克	斯波克 🖖
星际迷航	星际迷航 🖖
瓦肯	瓦肯 🖖
瓦肯举手礼	瓦肯举手礼 🖖
你好	你好 👋
再见	再见 👋
拜拜	拜拜 👋
挥手	挥手 👋
摆手	摆手 👋
六六六	六六六 🤙
回电话	回电话 🤙
打电话	打电话 🤙
打电话给我	打电话给我 🤙
打给我	打给我 🤙
给我打电话	给我打电话 🤙
向左伸的手	向左伸的手 🫲
向左的手	向左的手 🫲
朝左	朝左 🫲
向右伸的手	向右伸的手 🫱
向右的手	向右的手 🫱
朝右	朝右 🫱
二头肌	二头肌 💪
健身	健身 💪
加油	加油 💪 ⛽
努力	努力 💪
奋斗	奋斗 💪
强壮	强壮 💪
秀肌肉	秀肌肉 💪
