人民币	人民币 ￥
卡片存档盒	卡片存档盒 🗃
卡片盒	卡片盒 🗃
投票	投票 🗳
投票箱	投票箱 🗳
选票	选票 🗳
文件柜	文件柜 🗄
写字板	写字板 📋
剪贴板	剪贴板 📋
文件夹	文件夹 📁 📂
卡片索引分隔卡	卡片索引分隔卡 🗂
卷起的报纸	卷起的报纸 🗞
报纸	报纸 🗞 📰
报纸卷	报纸卷 🗞
新闻	新闻 📰
日记本	日记本 📓 📔 📒
笔记本	笔记本 📓 📔 📒
记事本	记事本 📓 📔 📒
账簿	账簿 📒
小红书	小红书 📕
第一卷	第一卷 📕
红色书本	红色书本 📕
红色的书	红色的书 📕
教科书	教科书 📗
第二卷	第二卷 📗
绿色书本	绿色书本 📗
绿色的书	绿色的书 📗
第三卷	第三卷 📘
蓝色书本	蓝色书本 📘
蓝色的书	蓝色的书 📘
橙色的书	橙色的书 📙
橙色书本	橙色书本 📙
橘色的书	橘色的书 📙
橘色书本	橘色书本 📙
第四卷	第四卷 📙
书	书 📚 📖
书本	书本 📚 📖
书籍	书籍 📚 📖
图书	图书 📚 📖
打开的书	打开的书 📖
打开的书本	打开的书本 📖
书签	书签 🔖
别针	别针 🧷
安全别针	安全别针 🧷
扣针	扣针 🧷
link	link 🔗
链接	链接 🔗
回形针	回形针 📎 🖇
曲别针	曲别针 📎 🖇
三角尺	三角尺 📐
三角板	三角板 📐
尺子	尺子 📏
直尺	直尺 📏
打算盘	打算盘 🧮
算盘	算盘 🧮
图钉	图钉 📌
圆图钉	圆图钉 📍
大头针	大头针 📍
剪刀	剪刀 ✂️
剪子	剪子 ✂️
圆珠笔	圆珠笔 🖊
钢笔	钢笔 🖋 ✒️
画笔	画笔 🖌
蜡笔	蜡笔 🖍
便笺	便笺 📝
备忘	备忘 📝
备忘录	备忘录 📝
铅笔	铅笔 ✏️
放大镜	放大镜 🔍 🔎
带墨水笔的锁	带墨水笔的锁 🔏
锁	锁 🔏 🔐 🔒 🔓
隐秘	隐秘 🔏
密钥	密钥 🔐
已锁上但挂着钥匙的锁	已锁上但挂着钥匙的锁 🔐
解锁	解锁 🔐 🔓
上锁	上锁 🔒
合上的锁	合上的锁 🔒
锁上	锁上 🔒
锁住	锁住 🔒
锁头	锁头 🔒 🔓
门锁	门锁 🔒 🔓
开锁	开锁 🔓
打开的锁	打开的锁 🔓
粉心	粉心 🩷
粉红心	粉红心 🩷
粉色心	粉色心 🩷
粉色的心	粉色的心 🩷 💕
红心	红心 ❤️ ♥️
红色心	红色心 ❤️
红色的心	红色的心 ❤️
橘心	橘心 🧡
橘色心	橘色心 🧡
橘色的心	橘色的心 🧡
橙心	橙心 🧡
橙色心	橙色心 🧡
橙色的心	橙色的心 🧡
黄心	黄心 💛
黄色心	黄色心 💛
黄色的心	黄色的心 💛
绿心	绿心 💚
绿色心	绿色心 💚
绿色的心	绿色的心 💚
淡蓝心	淡蓝心 🩵
淡蓝色心	淡蓝色心 🩵
淡蓝色的心	淡蓝色的心 🩵
蓝心	蓝心 🩵 💙
蓝色心	蓝色心 🩵 💙
蓝色的心	蓝色的心 🩵 💙
紫心	紫心 💜
紫色心	紫色心 💜
紫色的心	紫色的心 💜
黑心	黑心 🖤
黑色心	黑色心 🖤
黑色的心	黑色的心 🖤
灰心	灰心 🩶
灰色心	灰色心 🩶
灰色的心	灰色的心 🩶
白心	白心 🤍
白色心	白色心 🤍
白色的心	白色的心 🤍
棕心	棕心 🤎
棕色心	棕色心 🤎
棕色的心	棕色的心 🤎
伤心	伤心 💔
失恋	失恋 💔
心碎	心碎 💔
心在燃烧	心在燃烧 ❤️‍🔥
心在着火	心在着火 ❤️‍🔥
心火	心火 ❤️‍🔥
火上之心	火上之心 ❤️‍🔥
燃烧的心	燃烧的心 ❤️‍🔥
爱火	爱火 ❤️‍🔥
修复受伤的心灵	修复受伤的心灵 ❤️‍🩹
受伤的心	受伤的心 ❤️‍🩹
受伤的心灵	受伤的心灵 ❤️‍🩹
心伤	心伤 ❤️‍🩹
治愈的心	治愈的心 ❤️‍🩹
心叹号	心叹号 ❣️
两颗心	两颗心 💕
心连心	心连心 💞
旋转的心	旋转的心 💞
舞动的心	舞动的心 💞
心动	心动 💓
心跳	心跳 💓
搏动的心	搏动的心 💗
膨胀的心	膨胀的心 💗
膨胀的爱心	膨胀的爱心 💗
爱心	爱心 💖 ♥️
闪亮的心	闪亮的心 💖
一箭穿心	一箭穿心 💘
丘比特	丘比特 💘
心中箭了	心中箭了 💘
爱的礼物	爱的礼物 💝
系有缎带的心	系有缎带的心 💝
送你一颗心	送你一颗心 💝
饰以丝带的心	饰以丝带的心 💝
心形	心形 💟 ♥️
心形装饰	心形装饰 💟
peace	peace ☮️
世界和平	世界和平 ☮️
和平	和平 ☮️
和平标志	和平标志 ☮️
和平符号	和平符号 ☮️
十字架	十字架 ✝️
基督	基督 ✝️
基督教	基督教 ✝️
星月	星月 ☪️
奥姆	奥姆 🕉
奥姆符号	奥姆符号 🕉
法轮	法轮 ☸️
坎达	坎达 🪯
坎达符号	坎达符号 🪯
锡克	锡克 🪯
锡克教	锡克教 🪯
大卫之星	大卫之星 ✡️
六芒星	六芒星 🔯
六角星	六角星 🔯
魔法阵	魔法阵 🔯
光明节	光明节 🕎
太极	太极 ☯️
阴阳	阴阳 ☯️
东正教	东正教 ☦️
东正教十字架	东正教十字架 ☦️
祷告	祷告 🛐
蛇夫座	蛇夫座 ⛎
白羊座	白羊座 ♈
金牛座	金牛座 ♉
双子座	双子座 ♊
巨蟹座	巨蟹座 ♋
狮子座	狮子座 ♌
处女座	处女座 ♍
室女座	室女座 ♍
天秤座	天秤座 ♎
天蝎座	天蝎座 ♏
人马座	人马座 ♐
射手座	射手座 ♐
摩羯座	摩羯座 ♑
宝瓶座	宝瓶座 ♒
水瓶座	水瓶座 ♒
双鱼座	双鱼座 ♓
身份	身份 🆔
atom	atom ⚛️
原子	原子 ⚛️
原子符号	原子符号 ⚛️
可	可 🉑
放射性	放射性 ☢️
辐射	辐射 ☢️
生化危机	生化危机 ☣️
生物危害	生物危害 ☣️
瘟疫公司	瘟疫公司 ☣️
关机	关机 📴
关闭手机	关闭手机 📴
手机关机	手机关机 📴
振动模式	振动模式 📳
震动	震动 📳
收费	收费 🈶
有	有 🈶
有料	有料 🈶
无	无 🈚️
没有	没有 🈚️
申	申 🈸
申请	申请 🈸
开门营业	开门营业 🈺
营	营 🈺
营业	营业 🈺
月	月 🈷️
八角星	八角星 ✴️
Vs.	Vs. 🆚
对决	对决 🆚
对战	对战 🆚
对抗	对抗 🆚
比	比 🆚
比赛	比赛 🆚
白色的花	白色的花 💮
白花	白花 💮
得	得 🉐
讨价还价	讨价还价 🉐
秘	秘 ㊙️
祝	祝 ㊗️
祝福	祝福 ㊗️
合	合 🈴
合格	合格 🈴
没有空位	没有空位 🈵
满	满 🈵
满了	满了 🈵
满座	满座 🈵
割	割 🈹
打折	打折 🈹
严禁	严禁 🈲 🚫
禁	禁 🈲
禁止	禁止 🈲 🚫
血型	血型 🅰️ 🅱️ 🆎 🅾️
A	A 🅰️
A型	A型 🅰️
A型血	A型血 🅰️
A血型	A血型 🅰️
B	B 🅱️
B型	B型 🅱️
B型血	B型血 🅱️
B血型	B血型 🅱️
AB	AB 🆎
AB型	AB型 🆎
AB型血	AB型血 🆎
AB血型	AB血型 🆎
O	O 🅾️
O型	O型 🅾️
O型血	O型血 🅾️
O血型	O血型 🅾️
clear	clear 🆑
清理	清理 🆑
清除	清除 🆑
SOS	SOS 🆘
救命	救命 🆘
求救	求救 🆘
求救信号	求救信号 🆘
求救讯号	求救讯号 🆘
叉	叉 ❌ ❎
叉叉	叉叉 ❌ ❎
画叉	画叉 ❌ ❎
答错	答错 ❌ ❎
答错了	答错了 ❌ ❎
错	错 ❌ ❎
错号	错号 ❌ ❎
错误	错误 ❌ ❎
圆圈	圆圈 ⭕
对	对 ⭕ ✅ ✔
正确	正确 ⭕ ✅ ✔
答对	答对 ⭕ ✅
答对了	答对了 ⭕ ✅
八边形	八边形 🛑
禁止通行	禁止通行 ⛔
禁止驶入	禁止驶入 ⛔
请勿入内	请勿入内 ⛔
请勿驶入	请勿驶入 ⛔
姓名牌	姓名牌 📛
不准	不准 🚫
不许	不许 🚫
一百	一百 💯
一百分	一百分 💯
满分	满分 💯
火大	火大 💢
生气符号	生气符号 💢
青筋	青筋 💢
休息	休息 ♨️
温泉	温泉 ♨️
禁止行人	禁止行人 🚷
禁止行人通行	禁止行人通行 🚷
勿丢垃圾	勿丢垃圾 🚯
勿扔垃圾	勿扔垃圾 🚯
禁丢垃圾	禁丢垃圾 🚯
禁止丢垃圾	禁止丢垃圾 🚯
禁止乱丢垃圾	禁止乱丢垃圾 🚯
禁止乱扔垃圾	禁止乱扔垃圾 🚯
禁止扔垃圾	禁止扔垃圾 🚯
请勿乱丢垃圾	请勿乱丢垃圾 🚯
请勿乱扔垃圾	请勿乱扔垃圾 🚯
禁止自行车	禁止自行车 🚳
禁止骑行	禁止骑行 🚳
禁止骑车	禁止骑车 🚳
请勿饮用	请勿饮用 🚱
非饮用水	非饮用水 🚱
十八禁	十八禁 🔞
成人	成人 🔞
未成年	未成年 🔞
未成年不宜	未成年不宜 🔞
禁止使用手机	禁止使用手机 📵
禁止打电话	禁止打电话 📵
禁止吸烟	禁止吸烟 🚭
禁烟	禁烟 🚭
请勿吸烟	请勿吸烟 🚭
叹号	叹号 ❗ ❕
惊叹号	惊叹号 ❗ ❕
感叹号	感叹号 ❗ ❕
红叹号	红叹号 ❗
红惊叹号	红惊叹号 ❗
红感叹号	红感叹号 ❗
红色叹号	红色叹号 ❗
红色惊叹号	红色惊叹号 ❗
红色感叹号	红色感叹号 ❗
白叹号	白叹号 ❕
白惊叹号	白惊叹号 ❕
白感叹号	白感叹号 ❕
白色叹号	白色叹号 ❕
白色惊叹号	白色惊叹号 ❕
白色感叹号	白色感叹号 ❕
问号	问号 ❓ ❔
红色问号	红色问号 ❓
红问号	红问号 ❓
白色问号	白色问号 ❔
白问号	白问号 ❔
俩叹号	俩叹号 ‼️
双叹号	双叹号 ‼️
双惊叹号	双惊叹号 ‼️
双感叹号	双感叹号 ‼️
叹号问号	叹号问号 ⁉️
叹问号	叹问号 ⁉️
惊问	惊问 ⁉️
感叹号问号	感叹号问号 ⁉️
疑问惊叹	疑问惊叹 ⁉️
疑问惊叹号	疑问惊叹号 ⁉️
亮度	亮度 🔅 🔆
亮度低	亮度低 🔅
低亮度	低亮度 🔅
亮度高	亮度高 🔆
高亮度	高亮度 🔆
歌记号	歌记号 〽️
危险	危险 ⚠️
注意	注意 ⚠️
警告	警告 ⚠️
预警	预警 ⚠️
儿童过街	儿童过街 🚸
学童过街	学童过街 🚸
当心儿童	当心儿童 🚸
注意儿童	注意儿童 🚸
三叉戟	三叉戟 🔱
三叉戟标志	三叉戟标志 🔱
百合花	百合花 ⚜️
百合花饰	百合花饰 ⚜️
鸢尾花	鸢尾花 ⚜️
初学者	初学者 🔰
新手驾驶	新手驾驶 🔰
日本初学者标志	日本初学者标志 🔰
日本新手驾驶标志	日本新手驾驶标志 🔰
回收	回收 ♻️
循环	循环 ♻️
循环再生	循环再生 ♻️
循环利用	循环利用 ♻️
环保	环保 ♻️
对号	对号 ✅ ✔
对钩	对钩 ✅ ✔
指	指 🈯
火花	火花 ❇️
八轮辐星号	八轮辐星号 ✳️
子午线	子午线 🌐
经纬线	经纬线 🌐
圆点菱形	圆点菱形 💠
圆点钻石形状	圆点钻石形状 💠
圆圈M	圆圈M Ⓜ
蓝色圆圈M	蓝色圆圈M Ⓜ
台风	台风 🌀
旋风	旋风 🌀
气旋	气旋 🌀
漩涡	漩涡 🌀
蚊香	蚊香 🌀
飓风	飓风 🌀
ZZZ	ZZZ 💤
睡眠符号	睡眠符号 💤
ATM	ATM 🏧
取款机	取款机 🏧
提款机	提款机 🏧
WC	WC 🚾
卫生间	卫生间 🚾 🚻
厕所	厕所 🚾 🚻
轮椅标志	轮椅标志 ♿
parking	parking 🅿️
停车	停车 🅿️
停车场	停车场 🅿️
停车按钮	停车按钮 🅿️
泊车	泊车 🅿️
升降机	升降机 🛗
电梯	电梯 🛗
空	空 🈳
空位	空位 🈳
服务费	服务费 🈂️
安检	安检 🛂
护照检查	护照检查 🛂
护照检查处	护照检查处 🛂
检查护照	检查护照 🛂
海关	海关 🛃
海关检查	海关检查 🛃
领取行李	领取行李 🛄
行李领取	行李领取 🛄
行李领取处	行李领取处 🛄
寄存行李	寄存行李 🛅
行李寄存	行李寄存 🛅
行李寄存处	行李寄存处 🛅
Wi-Fi	Wi-Fi 🛜
WiFi	WiFi 🛜
wireless	wireless 🛜
无线局域网	无线局域网 🛜
无线网	无线网 🛜
无线网络	无线网络 🛜
网络	网络 🛜
男厕	男厕 🚹
男厕所	男厕所 🚹
男士	男士 🚹
男士标志	男士标志 🚹
男士符号	男士符号 🚹
男洗手间	男洗手间 🚹
女厕	女厕 🚺
女厕所	女厕所 🚺
女士	女士 🚺
女士标志	女士标志 🚺
女士符号	女士符号 🚺
女洗手间	女洗手间 🚺
婴儿标志	婴儿标志 🚼
婴儿符号	婴儿符号 🚼
一家人	一家人 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒 🧑‍🧒 🧑‍🧒‍🧒
一家三口	一家三口 🧑‍🧑‍🧒
三口之家	三口之家 🧑‍🧑‍🧒
一家四口	一家四口 🧑‍🧑‍🧒‍🧒
四口之家	四口之家 🧑‍🧑‍🧒‍🧒
单亲家庭	单亲家庭 🧑‍🧒 🧑‍🧒‍🧒
父女	父女 🧑‍🧒 🧑‍🧒‍🧒
母女	母女 🧑‍🧒 🧑‍🧒‍🧒
父子	父子 🧑‍🧒 🧑‍🧒‍🧒
母子	母子 🧑‍🧒 🧑‍🧒‍🧒
变性	变性 ⚧
跨性别	跨性别 ⚧ 🏳️‍⚧️
跨性别符号	跨性别符号 ⚧
洗手间	洗手间 🚻
盥洗室	盥洗室 🚻
丢垃圾	丢垃圾 🚮
倒垃圾	倒垃圾 🚮
垃圾丢弃处	垃圾丢弃处 🚮
垃圾入篓	垃圾入篓 🚮
垃圾入篓标志	垃圾入篓标志 🚮
扔垃圾	扔垃圾 🚮
电影院	电影院 🎦
信号	信号 📶
信号强度	信号强度 📶
信号强度条	信号强度条 📶
手机信号	手机信号 📶
这里	这里 🈁
字符	字符 🔣
符号	符号 🔣
info	info ℹ️
information	information ℹ️
资讯	资讯 ℹ️
abc	abc 🔤
字母	字母 🔤 🔡 🔠
拉丁文	拉丁文 🔤 🔡 🔠
英文	英文 🔤 🔡 🔠
英语	英语 🔤 🔡 🔠
abcd	abcd 🔡
小写	小写 🔡
小写字母	小写字母 🔡
英文小写	英文小写 🔡
ABCD	ABCD 🔠
大写	大写 🔠
大写字母	大写字母 🔠
英文大写	英文大写 🔠
NG	NG 🆖
重拍	重拍 🆖
up	up 🆙
升级	升级 🆙
顶	顶 🆙
cool	cool 🆒
很酷	很酷 🆒
特别酷	特别酷 🆒
超酷	超酷 🆒
酷	酷 🆒
new	new 🆕
全新	全新 🆕
新	新 🆕
新建	新建 🆕
新的	新的 🆕
free	free 🆓
免费	免费 🆓
自由	自由 🆓
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
十	十 🔟
一二三四	一二三四 🔢
数字	数字 🔢
井号	井号 #️⃣
井号键	井号键 #️⃣
星号	星号 *️⃣
星号键	星号键 *️⃣
弹出	弹出 ⏏️
弹出按钮	弹出按钮 ⏏️
推出	推出 ⏏️
推出按钮	推出按钮 ⏏️
开始	开始 ▶️
开始播放	开始播放 ▶️
播放	播放 ▶️
暂停	暂停 ⏸️
播放暂停	播放暂停 ⏯️
停止	停止 ⏹️
开始录像	开始录像 ⏺️
开始录音	开始录音 ⏺️
录像	录像 ⏺️
录像按钮	录像按钮 ⏺️
录音	录音 ⏺️
录音按钮	录音按钮 ⏺️
下一首	下一首 ⏭️
上一首	上一首 ⏮️
快进	快进 ⏩
快进符号	快进符号 ⏩
快退	快退 ⏪
快退符号	快退符号 ⏪
快上	快上 ⏫
快下	快下 ⏬
倒退	倒退 ◀️
倒退按钮	倒退按钮 ◀️
上三角	上三角 🔼
调高	调高 🔼
下三角	下三角 🔽
调低	调低 🔽
右	右 ➡️ →
右箭头	右箭头 ➡️ →
向右箭头	向右箭头 ➡️
左	左 ⬅️ ←
左箭头	左箭头 ⬅️ ←
向左箭头	向左箭头 ⬅️
上	上 ⬆️ ↑
上箭头	上箭头 ⬆️ ↑
向上箭头	向上箭头 ⬆️
下	下 ⬇️ ↓
下箭头	下箭头 ⬇️ ↓
向下箭头	向下箭头 ⬇️
右上	右上 ↗️ ↗
右上箭头	右上箭头 ↗️ ↗
右下	右下 ↘️ ↘
右下箭头	右下箭头 ↘️ ↘
左下	左下 ↙️ ↙
左下箭头	左下箭头 ↙️ ↙
左上	左上 ↖️ ↖
左上箭头	左上箭头 ↖️ ↖
上下	上下 ↕️ ↕
上下箭头	上下箭头 ↕️ ↕
左右	左右 ↔️ ↔︎
左右箭头	左右箭头 ↔️ ↔︎
左转弯箭头	左转弯箭头 ↪️
右转弯箭头	右转弯箭头 ↩️
右上弯箭头	右上弯箭头 ⤴️
右下弯箭头	右下弯箭头 ⤵️
交叉箭头	交叉箭头 🔀
随机	随机 🔀
随机播放	随机播放 🔀
循环播放	循环播放 🔁
单曲循环	单曲循环 🔂
刷新	刷新 🔄
重新载入	重新载入 🔄
逆时针	逆时针 🔄
逆时针垂直箭头	逆时针垂直箭头 🔄
逆时针方向	逆时针方向 🔄
顺时针	顺时针 🔃
顺时针垂直箭头	顺时针垂直箭头 🔃
顺时针方向	顺时针方向 🔃
音乐	音乐 🎵 🎶
音符	音符 🎵 🎶
加	加 ➕
加号	加号 ➕
减	减 ➖
减号	减号 ➖
除	除 ➗
除以	除以 ➗
除号	除号 ➗
乘	乘 ✖️
乘以	乘以 ✖️
乘号	乘号 ✖️
等于	等于 🟰
等号	等号 🟰
等于号	等于号 🟰
粗等号	粗等号 🟰
无穷大	无穷大 ♾
价钱	价钱 💲
粗美元符号	粗美元符号 💲
货币	货币 💲
兑换	兑换 💱
出国	出国 💱
外汇	外汇 💱
换汇	换汇 💱
汇率	汇率 💱
流通	流通 💱
货币兑换	货币兑换 💱
TM	TM ™
商标	商标 ™
商标符号	商标符号 ™
Copyright	Copyright ©
版权	版权 ©
版权符号	版权符号 ©
Registered	Registered ®
注册	注册 ®
注册商标	注册商标 ®
注册商标符号	注册商标符号 ®
注册标记	注册标记 ®
我是证人	我是证人 👁️‍🗨️
证人	证人 👁️‍🗨️
end	end 🔚
结束	结束 🔚
back	back 🔙
退回	退回 🔙
on	on 🔛
开启	开启 🔛
top	top 🔝
置顶	置顶 🔝
soon	soon 🔜
马上	马上 🔜
波浪型破折号	波浪型破折号 〰️
波浪线	波浪线 〰️
卷曲环	卷曲环 ➰
双卷曲环	双卷曲环 ➿
勾选	勾选 ✔ ☑️
复选	复选 ☑️
复选按钮	复选按钮 ☑️
复选框	复选框 ☑️
打对钩	打对钩 ☑️
打钩	打钩 ☑️
按钮	按钮 ☑️ 🔘
单选	单选 🔘
单选按钮	单选按钮 🔘
单选框	单选框 🔘
红色	红色 🔴 🟥
橙色	橙色 🟠 🟧
橘色	橘色 🟠 🟧
橘黄色	橘黄色 🟠 🟧
黄色	黄色 🟡 🟨
绿色	绿色 🟢 🟩
蓝色	蓝色 🔵 🟦
紫色	紫色 🟣 🟪
围棋	围棋 ⚫ ⚪
圆形	圆形 ⚫ ⚪
小圆点	小圆点 ⚫ ⚪
黑白棋	黑白棋 ⚫ ⚪
小黑点	小黑点 ⚫
黑子	黑子 ⚫
黑棋	黑棋 ⚫
黑点	黑点 ⚫
黑色	黑色 ⚫ ⬛
小白点	小白点 ⚪
白子	白子 ⚪
白棋	白棋 ⚪
白点	白点 ⚪
白色	白色 ⚪ ⬜
元宵	元宵 ⚪
汤圆	汤圆 ⚪
雪球	雪球 ⚪
棕色	棕色 🟤 🟫
三角	三角 🔺 🔻
三角形	三角形 🔺 🔻
正三角	正三角 🔺
红色正三角	红色正三角 🔺
倒三角	倒三角 🔻
红色倒三角	红色倒三角 🔻
小方片	小方片 🔸 🔹
小菱形	小菱形 🔸 🔹
橘色小菱形	橘色小菱形 🔸
橘黄色小菱形	橘黄色小菱形 🔸
橙色小菱形	橙色小菱形 🔸
蓝色小菱形	蓝色小菱形 🔹
菱形	菱形 🔶 🔷
大菱形	大菱形 🔶 🔷
橘色大菱形	橘色大菱形 🔶
橘色菱形	橘色菱形 🔶
橘黄色大菱形	橘黄色大菱形 🔶
橘黄色菱形	橘黄色菱形 🔶
橙色大菱形	橙色大菱形 🔶
橙色菱形	橙色菱形 🔶
蓝色大菱形	蓝色大菱形 🔷
蓝色菱形	蓝色菱形 🔷
方形按钮	方形按钮 🔳 🔲
正方形按钮	正方形按钮 🔳 🔲
白边方形按钮	白边方形按钮 🔳
白边正方形按钮	白边正方形按钮 🔳
黑边方形按钮	黑边方形按钮 🔲
黑边正方形按钮	黑边正方形按钮 🔲
小方块	小方块 ▪ ▫
小正方形	小正方形 ▪ ▫
黑色小方块	黑色小方块 ▪
白色小方块	白色小方块 ▫
大方块	大方块 ◾ ◽
大正方形	大正方形 ◾ ◽
黑色大方块	黑色大方块 ◾
白色大方块	白色大方块 ◽
中方块	中方块 ◼ ◻
中正方形	中正方形 ◼ ◻
中等方块	中等方块 ◼ ◻
中等正方形	中等正方形 ◼ ◻
黑色中方块	黑色中方块 ◼
黑色中等方块	黑色中等方块 ◼
白色中方块	白色中方块 ◻
白色中等方块	白色中等方块 ◻
方块	方块 ⬛ ⬜ ♦️
方形	方形 ⬛ ⬜
正方形	正方形 ⬛ ⬜
矩形	矩形 ⬛ ⬜
小黑框	小黑框 ⬛
黑框	黑框 ⬛
小白框	小白框 ⬜
白框	白框 ⬜
扬声器	扬声器 🔈 🔉 🔊
已静音的扬声器	已静音的扬声器 🔇
扬声器关闭	扬声器关闭 🔇
静音	静音 🔇 🔕
中等音量	中等音量 🔉
中等音量的扬声器	中等音量的扬声器 🔉
大音量	大音量 🔊
高音量	高音量 🔊
高音量的扬声器	高音量的扬声器 🔊
铃铛	铃铛 🔔
响铃关闭	响铃关闭 🔕
禁止响铃	禁止响铃 🔕
静音铃铛	静音铃铛 🔕
喇叭	喇叭 📣 📢
喇叭筒	喇叭筒 📣
大喇叭	大喇叭 📣
公共广播	公共广播 📢
对话框	对话框 💬 🗨 💭 🗯
对话气泡	对话气泡 💬 🗨 🗯
朝左的对话气泡	朝左的对话气泡 🗨
内心活动气泡	内心活动气泡 💭
思考气泡	思考气泡 💭
愤怒对话框	愤怒对话框 🗯
愤怒对话气泡	愤怒对话气泡 🗯
扑克	扑克 ♠️ ♥️ ♦️ ♣️ 🃏
黑桃	黑桃 ♠️
梅花	梅花 ♣️
草花	草花 ♣️
心	心 ♥️
爱	爱 ♥️
红桃	红桃 ♥️
方板	方板 ♦️
方片	方片 ♦️
joker	joker 🃏
大小王	大小王 🃏
大王	大王 🃏
小丑牌	小丑牌 🃏
小王	小王 🃏
鬼牌	鬼牌 🃏
扑克牌	扑克牌 🎴
花扑克牌	花扑克牌 🎴
中	中 🀄
红中	红中 🀄
麻将	麻将 🀄
一点钟	一点钟 🕐
两点	两点 🕑
两点钟	两点钟 🕑
三点	三点 🕒
三点钟	三点钟 🕒
四点	四点 🕓
四点钟	四点钟 🕓
五点	五点 🕔
五点钟	五点钟 🕔
六点	六点 🕕
六点钟	六点钟 🕕
七点	七点 🕖
七点钟	七点钟 🕖
八点	八点 🕗
八点钟	八点钟 🕗
九点	九点 🕘
九点钟	九点钟 🕘
十点	十点 🕙
十点钟	十点钟 🕙
十一点	十一点 🕚
十一点钟	十一点钟 🕚
十二点	十二点 🕛
十二点钟	十二点钟 🕛
一点半	一点半 🕜
两点半	两点半 🕝
三点半	三点半 🕞
四点半	四点半 🕟
五点半	五点半 🕠
六点半	六点半 🕡
七点半	七点半 🕢
八点半	八点半 🕣
九点半	九点半 🕤
十点半	十点半 🕥
十一点半	十一点半 🕦
十二点半	十二点半 🕧
举白旗	举白旗 🏳
投降	投降 🏳
白旗	白旗 🏳
白色旗子	白色旗子 🏳
白色旗帜	白色旗帜 🏳
认输	认输 🏳
认输了	认输了 🏳
举黑旗	举黑旗 🏴
黑旗	黑旗 🏴
黑色旗	黑色旗 🏴
黑色旗子	黑色旗子 🏴
黑色旗帜	黑色旗帜 🏴
海盗	海盗 🏴‍☠️
海盗旗	海盗旗 🏴‍☠️
海贼	海贼 🏴‍☠️
海贼旗	海贼旗 🏴‍☠️
格子旗	格子旗 🏁
终点	终点 🏁
终点旗	终点旗 🏁
三角旗	三角旗 🚩
旗子	旗子 🚩
旗帜	旗帜 🚩
旗杆上的三角旗	旗杆上的三角旗 🚩
旗杆上的旗帜	旗杆上的旗帜 🚩
红色旗帜	红色旗帜 🚩
同性旗	同性旗 🏳️‍🌈
彩虹旗	彩虹旗 🏳️‍🌈
跨性别旗	跨性别旗 🏳️‍⚧️
联合国	联合国 🇺🇳
阿尔巴尼亚	阿尔巴尼亚 🇦🇱
阿尔巴尼亚共和国	阿尔巴尼亚共和国 🇦🇱
阿尔及利亚	阿尔及利亚 🇩🇿
阿尔及利亚民主人民共和国	阿尔及利亚民主人民共和国 🇩🇿
阿富汗	阿富汗 🇦🇫
阿根廷	阿根廷 🇦🇷
阿根廷共和国	阿根廷共和国 🇦🇷
阿拉伯联合酋长国	阿拉伯联合酋长国 🇦🇪
阿拉伯	阿拉伯 🇦🇪
阿鲁巴	阿鲁巴 🇦🇼
阿曼	阿曼 🇴🇲
阿曼苏丹国	阿曼苏丹国 🇴🇲
阿塞拜疆	阿塞拜疆 🇦🇿
阿塞拜疆共和国	阿塞拜疆共和国 🇦🇿
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃塞俄比亚联邦民主共和国	埃塞俄比亚联邦民主共和国 🇪🇹
爱尔兰	爱尔兰 🇮🇪
爱尔兰共和国	爱尔兰共和国 🇮🇪
爱沙尼亚	爱沙尼亚 🇪🇪
爱沙尼亚共和国	爱沙尼亚共和国 🇪🇪
安道尔	安道尔 🇦🇩
安道尔公国	安道尔公国 🇦🇩
安哥拉	安哥拉 🇦🇴
安哥拉共和国	安哥拉共和国 🇦🇴
安圭拉	安圭拉 🇦🇮
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安巴	安巴 🇦🇬
奥地利	奥地利 🇦🇹
奥地利共和国	奥地利共和国 🇦🇹
奥兰	奥兰 🇦🇽
奥兰群岛	奥兰群岛 🇦🇽
阿赫韦南马	阿赫韦南马 🇦🇽
澳大利亚	澳大利亚 🇦🇺
澳大利亚联邦	澳大利亚联邦 🇦🇺
中国澳门特别行政区	中国澳门特别行政区 🇲🇴
中国澳门	中国澳门 🇲🇴
澳门	澳门 🇲🇴
澳门特别行政区	澳门特别行政区 🇲🇴
巴巴多斯	巴巴多斯 🇧🇧
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布亚新几内亚独立国	巴布亚新几内亚独立国 🇵🇬
巴哈马	巴哈马 🇧🇸
巴哈马国	巴哈马国 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴基斯坦伊斯兰共和国	巴基斯坦伊斯兰共和国 🇵🇰
巴拉圭	巴拉圭 🇵🇾
巴拉圭共和国	巴拉圭共和国 🇵🇾
巴勒斯坦领土	巴勒斯坦领土 🇵🇸
巴林	巴林 🇧🇭
巴林王国	巴林王国 🇧🇭
巴拿马	巴拿马 🇵🇦
